,OCC_CODE,TOT_EMP,A_MEAN
846,51-9071,"4,390","50,380"
847,51-9071,"4,390","50,380"
848,51-9081,"1,790","50,250"
849,51-9082,630,"41,580"
850,51-9083,"2,760","36,040"
851,51-9111,"16,590","31,590"
852,51-9121,"1,900","36,170"
853,51-9122,"1,630","49,550"
854,51-9123,590,"39,090"
855,51-9141,910,"50,920"
856,51-9151,"1,160","45,300"
857,51-9191,300,"35,530"
858,51-9192,360,"36,740"
859,51-9193,310,"34,810"
860,51-9194,170,"47,020"
861,51-9195,990,"37,080"
862,51-9195,990,"37,080"
863,51-9195,990,"37,080"
864,51-9195,990,"37,080"
865,51-9196,"4,130","37,950"
866,51-9198,"6,860","30,020"
867,51-9199,"4,650","36,960"
868,53-1011,350,"51,700"
869,53-2011,"6,240","108,420"
870,53-2012,"1,020","127,590"
871,53-2021,"1,230","130,840"
872,53-2022,420,"58,630"
873,53-2031,"10,480","48,960"
874,53-3011,"1,260","36,270"
875,53-3021,"19,630","60,220"
876,53-3022,"49,390","41,840"
877,53-3031,"21,420","30,370"
878,53-3032,"62,360","50,460"
879,53-3033,"46,030","38,160"
880,53-3041,"16,650","34,650"
881,53-4011,"1,550","77,150"
882,53-4013,110,"72,370"
883,53-4021,600,"72,170"
884,53-4031,"5,900","66,560"
885,53-5011,"1,570","48,740"
886,53-5021,"2,040","95,370"
887,53-5021,"2,040","95,370"
888,53-5021,"2,040","95,370"
889,53-5022,70,"65,120"
890,53-5031,590,"100,430"
891,53-6011,290,"48,250"
892,53-6021,"16,220","26,220"
893,53-6031,"4,660","25,840"
894,53-6041,"1,250","62,100"
895,53-6061,"2,710","27,590"
896,53-7011,420,"36,560"
897,53-7021,"1,260",*
898,53-7032,"2,210","72,400"
899,53-7041,80,"53,030"
900,53-7051,"16,010","42,340"
901,53-7061,"19,520","33,830"
902,53-7062,"130,850","33,940"
903,53-7063,"1,370","31,470"
904,53-7064,"23,220","28,240"
905,53-7071,70,"58,440"
906,53-7081,"10,480","56,710"
